image,cars_in_zone,free_places,capacity
2026-03-03_0634.jpg,6,31,37
2026-03-03_0734.jpg,16,21,37
2026-03-03_0834.jpg,33,4,37
2026-03-03_0934.jpg,35,2,37
2026-03-03_1034.jpg,29,8,37
2026-03-03_1134.jpg,34,3,37
2026-03-03_1234.jpg,36,1,37
2026-03-03_1335.jpg,36,1,37
2026-03-03_1435.jpg,36,1,37
2026-03-03_1535.jpg,30,7,37
2026-03-03_1635.jpg,20,17,37
2026-03-03_1735.jpg,16,21,37
2026-03-03_1835.jpg,0,37,37
